UserName,Groupname,Enabled,UserDisplayName,UPN,Last Login,90 days,DomainID,PrimaryLicenseGroup,AdminLicenseRatio,MaintainedBy,Description,PrimaryLicenseGroups,ALLGroupmembership,
Anonymized51,All Vault Users,True,Anonymized287,companydomain.local\Anonymized51,11/24/23  5:22:43 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam,"All Vault Users, companydomain.local\Permissions.Application.PAM.group1Role.Administrator, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam.DomainAdmins, Anonymized287, TSS.Company.CloudPlatformTeam.Owners, TSS.Company.DomainAdmin.Owners, TSS.Company.SAP.Owners, TSS.ITSupplier3.ApplicationF2.0.Owners, TSS.SecretServer.RootFolders.Owners, TSS.ITManagementCompanyX.DomainAdmin.Owners, TSS.ITManagementCompanyX.SAP.Owners, TSS.ITManagementCompanyX.WindowsITTeam.Owners",
Anonymized200,All Vault Users,True,Anonymized634,companydomain.local\Anonymized200,09/26/23  8:05:42 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1,'-1,tbd,tbd,"companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.Retail","All Vault Users, Anonymized634, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.Retail",
Anonymized151,All Vault Users,True,Anonymized539,companydomain.local\Anonymized151,11/24/23  4:03:34 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP,'-1,,,"companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.TechnicalAdminDepartment, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin","All Vault Users, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.TechnicalAdminDepartment, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin, Anonymized539",
Anonymized285,All Vault Users,True,Anonymized256,companydomain.local\Anonymized285,11/23/23  5:00:17 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ITDeliveryDepartment,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ITDeliveryDepartment,"All Vault Users, Anonymized256, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ITDeliveryDepartment",
Anonymized516,All Vault Users,True,Anonymized463,Anonymized177,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.ApplicationY,0,TBD,tbd,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.ApplicationY,"All Vault Users, Anonymized463, companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.ApplicationY",
Anonymized206,All Vault Users,True,Anonymized278,companydomain.local\Anonymized206,11/23/23  8:14:39 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.AIX-Linux.ITAdmin,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.AIX-Linux.ITAdmin,"All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.KeyUsers.ITManagementCompanyX.AIX, companydomain.local\Gebruikers.Applicatie.PAM.KeyUsers.ITManagementCompanyX.Linux, Anonymized278, companydomain.local\Permissions.Application.PAM.group1Folder.ITManagementCompanyX.AIX, companydomain.local\Permissions.Application.PAM.group1Folder.ITManagementCompanyX.Linux, companydomain.local\Permissions.Application.PAM.group1KeyUsers.ITManagementCompanyX.AIX, companydomain.local\Permissions.Application.PAM.group1KeyUsers.ITManagementCompanyX.Linux, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.AIX-Linux.ITAdmin, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.AIX-Linux.ITAdmin.Root",
Anonymized670,All Vault Users,True,Anonymized97,Anonymized292,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin,'-1,ITManagementCompanyX-SAP,This is a second primary group for ITManagementCompanyX-SAP,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin,"All Vault Users, Anonymized97, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin",
Anonymized10,All Vault Users,True,Anonymized331,companydomain.local\Anonymized10,06/05/23  1:22:38 PM,Too long ago,1.0,companydomain.local\Permissions.Application.PAM.group1Users.Company.ITDeliveryDepartment,'-1,,,"companydomain.local\Permissions.Application.PAM.group1Users.Company.DotNET, companydomain.local\Permissions.Application.PAM.group1Users.Company.DepartmentP-DotNet, companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationX","All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.Users.Company.DepartmentP-DotNet, Anonymized331, companydomain.local\Permissions.Application.PAM.group1Folder.ApplicationX, companydomain.local\Permissions.Application.PAM.group1Users.Company.DotNET, companydomain.local\Permissions.Application.PAM.group1Users.Company.DepartmentP-DotNet, companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationX",
Anonymized54,All Vault Users,True,Anonymized540,companydomain.local\Anonymized54,11/23/23  8:16:37 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ITDeliveryDepartment,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ITDeliveryDepartment,"All Vault Users, Anonymized540, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ITDeliveryDepartment",
Anonymized389,All Vault Users,True,Anonymized467,Anonymized258,03/28/23  2:22:34 PM,Too long ago,1.0,companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationY.eCommerce,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationY.eCommerce,"All Vault Users, companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationY.eCommerce, Anonymized467",
Anonymized573,All Vault Users,True,Anonymized559,Anonymized70,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentB,0,TBD,TBD,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentB,"All Vault Users, companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentB, Anonymized559",
Anonymized388,All Vault Users,True,Anonymized204,Anonymized188,08/01/23  1:44:29 PM,Too long ago,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP,'-1,,,"companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.TechnicalAdminDepartment, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin","All Vault Users, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.TechnicalAdminDepartment, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin, Anonymized204",
Anonymized576,All Vault Users,True,Anonymized58,Anonymized49,08/21/23 11:37:03 AM,Too long ago,1.0,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentIntegration,0,TBD,TBD,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentIntegration,"All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.BusinessUsers.Company.DepartmentIntegration, Anonymized58, companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentIntegration",
Anonymized341,All Vault Users,True,Anonymized169,companydomain.local\Anonymized341,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1Users.Company.IAM.ITAdministrators,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.Company.IAM.ITAdministrators,"All Vault Users, companydomain.local\Permissions.Application.PAM.group1Users.Company.IAM.ITAdministrators, Anonymized169",
Anonymized295,All Vault Users,True,Anonymized546,companydomain.local\Anonymized295,07/26/23 12:34:09 PM,Too long ago,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,3,,,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,"All Vault Users, Anonymized546, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows",
Anonymized6,All Vault Users,True,Anonymized626,companydomain.local\Anonymized6,11/15/23  1:36:27 PM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin,'-1,ITManagementCompanyX-SAP,This is a second primary group for ITManagementCompanyX-SAP,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin,"All Vault Users, Anonymized626, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin",
Anonymized9,All Vault Users,True,Anonymized669,companydomain.local\Anonymized9,11/23/23  7:22:50 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam,'-1,,,"companydomain.local\Permissions.Application.PAM.group1Users.Company.Enablement, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam","All Vault Users, companydomain.local\Permissions.Application.PAM.group1Role.Administrator, companydomain.local\Permissions.Application.PAM.group1Users.Company.Enablement, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam.DomainAdmins, Anonymized669, TSS.Company.DomainAdmin.Owners, TSS.ITManagementCompanyX.DomainAdmin.Owners",
Anonymized380,All Vault Users,True,Anonymized644,companydomain.local\Anonymized380,05/16/23 12:09:39 PM,Too long ago,1.0,companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationX,'-1,,,"companydomain.local\Permissions.Application.PAM.group1Users.Company.DotNET, companydomain.local\Permissions.Application.PAM.group1Users.Company.DepartmentP-DotNet, companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationX","All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.Users.Company.DepartmentP-DotNet, Anonymized644, companydomain.local\Permissions.Application.PAM.group1Folder.ApplicationX, companydomain.local\Permissions.Application.PAM.group1Users.Company.DotNET, companydomain.local\Permissions.Application.PAM.group1Users.Company.DepartmentP-DotNet, companydomain.local\Permissions.Application.PAM.group1Users.Company.ApplicationX",
Anonymized80,All Vault Users,True,Anonymized15,companydomain.local\Anonymized80,11/23/23 11:00:19 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam,"All Vault Users, Anonymized15, companydomain.local\Permissions.Application.PAM.group1Role.Administrator, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam.DomainAdmins, TSS.ITManagementCompanyX.MSSQL.Owners",
